,0
0,role model ask not what your country do for you ask what you do for your country negara lumpuh tindak tindak
1,teman tolong bantu buzzer semangat mahasiswa yogyakarta angkat bicara perihal langsung negeri
2,iya hukum trlalu ringan eh
3,iyah kpk nya evaluasi wenang pretel ganti oknum tanggung nya ganti
4,yah wakil kritik becus kerja meja kuasa
5,yogyakarta suara revolusi
6,this is where it all started and this is where it s all going to start again
7,reformasi korupsi
8,maju umat manusia asai nikmat gelintir orang super kaya hasil miskin derita perang bantai diskriminasi tindas muda lawan
9,gejayan panggil panggil
10,status
11,
12,
13,
14,giveaway saldo ovo giveaway orang untung syarat mudah rt like menang dipost senin malam goodluck semangat
15,
16,moga gera kultural mahasiswa yogya lihat tingkah rezim gera butuh
17,reformasi korupsi
18,
19,
20,
21,iya
22,semangat yoooo
23,
24,avatar twitter ayo gas
25,ayo mahasiswa bela ofc status
26,bangga negara rundung teman elite mahasiswa pikir negara jiwa cinta tanah air turun jalan aspirasi
27,
28,moga gera aspirasi gertak dpr manut bayar pajak supermoon status
29,
30,demo bersih diam lawan
31,
32,
33,mantaapp kali
34,anyway to whomever stay safe and hydrated may our voice be heard
35,mari jam rute long marc bundar ugm gejayan jam wib
36,ramai yaa
37,untung kos gejayan bayang macet
38,darimana pemuda indonesia
39,selamat juang kawankawan aktivis
40,sabar lihat aksi
41,fokus pokok inti tunggang
42,ajar elit pikir tindak biaya tenaga buang hasil lebihbaik pikir perintah ketuk hati merespon
43,biar suara bungkam
44,gasss adik adik
45,kaji kait aksi silah klik
46,moga dosen dosen selamat berkah hidup ngomong - ngomong ss teman kuliah jogja
47,monggo dab hadiiir iya
48,cyrus kaitlynn carter html
49,rumah banget well moga damai moga wujud doa
50,mbangane soale
51,populisme bodoh ketidakpedulian alat kekuasaaan buah sistem busuk jaga oligarki kuasa lawan hati hati kawan suka suara
52,selamat pagi kawan kawan pepatah bangun siang rezeki patok ayam pagi lawan nasib patok oligarki
53,teman mahasiswa kuliah turun jalan hati hati jaga tertib moga tuhan
54,campur tangan asing pribadi lemah semangat reformasi
55,
56,turun jalan bukti jabat ingkar janji
57,
58,tu harap kelas kosong
59,tagar gema media sosial aliansi mahasiswa masyarakat jogja turun jalan panggil
60,ntab jember garislucu status
61,ayo
62,gerak suara
63,lupa demokratis anarkis mahasiswa negara
64,buah pesan sponsor profesional rakyat banget
65,mruput dodol es kakak perempuan ning gejayan
66,salam revolusi
67,salah alas dukung gera aksi demonstrasi kuasa mang bijak
68,rada gajelas aksi malam tutup aksi turun aksi jogja malang kota semangat hati hati jalan
69,
70,kakak ar demo
71,
72,selamat juang sahabat sahabat mahasiswa keep safety and peace
73,doa masyarakat takut sm perintah ayo uneg uneg aspirasi hati silah
